model,accuracy,precision,recall,f1,roc_auc
MLP improved,0.7612,0.3413940256045519,0.6417112299465241,0.4456824512534819,0.7900172253007078
ResNet18 improved,0.7554,0.3343793584379358,0.641042780748663,0.4395050412465628,0.784271580596234
MLP baseline,0.6972,0.298844537815126,0.7606951871657754,0.4291101055806938,0.7879843662749457
ResNet18 baseline,0.7482,0.3234277816171389,0.6256684491978609,0.4264236902050113,0.7745866132200764
ViT-B/16 improved,0.7253,0.3066460587326121,0.6631016042780749,0.4193616571549355,0.7599109934425323
ViT-B/16 baseline,0.7435,0.3151158768592182,0.608957219251337,0.4153179849555505,0.7542252843581629
